ASISr_X,ASISr_Y,ASISr_Z,ASISl_X,ASISl_Y,ASISl_Z,PSISr_X,PSISr_Y,PSISr_Z,PSISl_X,PSISl_Y,PSISl_Z
674.3510000000001,285.52299999999997,174.157,752.0269999999999,53.5919,188.582,855.092,273.139,231.8,888.632,167.31599999999997,231.981
674.855,285.334,174.18,752.438,53.343999999999994,188.606,855.5880000000001,272.842,232.08,888.975,167.045,232.173
675.355,285.175,174.18099999999998,752.814,53.1292,188.59599999999998,855.91,272.51,232.207,889.32,166.748,232.343
675.823,284.988,174.16299999999998,753.1569999999999,52.9352,188.55200000000002,856.29,272.216,232.40400000000002,889.6510000000001,166.452,232.516
676.285,284.816,174.13299999999998,753.4760000000001,52.7505,188.47799999999998,856.65,271.926,232.59799999999998,889.9810000000001,166.13299999999998,232.675
676.7460000000001,284.619,174.082,753.7710000000001,52.5644,188.382,857.002,271.651,232.796,890.297,165.821,232.84599999999998
677.194,284.472,174.028,754.075,52.4154,188.28,857.35,271.384,233.012,890.585,165.49400000000003,233.002
677.659,284.33299999999997,173.979,754.427,52.3899,188.13400000000001,857.716,271.121,233.209,890.904,165.195,233.15099999999998
678.1080000000001,284.22900000000004,173.92700000000002,754.7239999999999,52.2349,188.02200000000002,858.065,270.889,233.392,891.205,164.90599999999998,233.273
678.581,284.11400000000003,173.91,755.03,52.1077,187.91299999999998,858.523,270.67,233.61599999999999,891.549,164.65599999999998,233.403
679.049,284.035,173.91299999999998,755.375,52.0015,187.813,858.908,270.459,233.76,891.908,164.422,233.515
679.525,283.966,173.94,755.7080000000001,51.8908,187.747,859.247,270.231,233.83700000000002,892.2689999999999,164.209,233.614
680.0139999999999,283.868,173.988,756.085,51.797,187.705,859.7539999999999,270.053,234.016,892.6610000000001,163.99900000000002,233.705
680.518,283.8,174.03400000000002,756.482,51.725,187.676,860.1439999999999,269.865,234.075,893.097,163.812,233.8
681.063,283.703,174.088,756.9060000000001,51.6759,187.662,860.716,269.718,234.245,893.5310000000001,163.644,233.86900000000003
681.6519999999999,283.624,174.153,757.346,51.5928,187.674,861.243,269.574,234.333,894.0189999999999,163.46200000000002,233.928
682.2589999999999,283.541,174.233,757.806,51.4949,187.68,861.79,269.438,234.44,894.507,163.304,233.97299999999998
682.9110000000001,283.464,174.31599999999997,758.207,51.2977,187.687,862.377,269.289,234.52900000000002,895.038,163.138,234.002
683.59,283.41,174.415,758.692,51.1901,187.674,862.915,269.133,234.543,895.57,162.976,234.00599999999997
684.285,283.38,174.52900000000002,759.166,51.0774,187.625,863.586,268.943,234.63,896.118,162.77700000000002,233.99
685.0160000000001,283.38,174.638,759.6419999999999,50.9855,187.565,864.345,268.742,234.752,896.681,162.577,233.97799999999998
685.752,283.393,174.745,760.044,50.8334,187.50400000000002,864.9780000000001,268.51,234.748,897.263,162.355,233.954
686.5039999999999,283.435,174.862,760.462,50.7473,187.442,865.742,268.27299999999997,234.838,897.829,162.09799999999998,233.94099999999997
687.2710000000001,283.478,174.99099999999999,760.834,50.615,187.38,866.49,268.028,234.923,898.4019999999999,161.815,233.96400000000003
688.047,283.503,175.137,761.405,50.7274,187.28599999999997,867.2339999999999,267.783,235.02,898.9580000000001,161.525,234.003
688.836,283.528,175.308,761.5880000000001,50.4748,187.351,868.08,267.546,235.229,899.5219999999999,161.21,234.09099999999998
689.6030000000001,283.556,175.519,762.112,50.6292,187.362,868.7189999999999,267.297,235.315,900.051,160.929,234.203
690.368,283.592,175.755,762.4680000000001,50.5802,187.46900000000002,869.452,267.078,235.485,900.6110000000001,160.63299999999998,234.329
691.1439999999999,283.629,175.99099999999999,762.811,50.5534,187.613,870.279,266.881,235.73,901.1469999999999,160.374,234.468
691.92,283.707,176.253,762.925,50.3172,187.86599999999999,870.908,266.689,235.834,901.699,160.129,234.609
692.7130000000001,283.80400000000003,176.52,763.4889999999999,50.5782,188.03099999999998,871.663,266.54200000000003,236.02,902.2819999999999,159.928,234.743
693.5139999999999,283.98400000000004,176.822,763.6160000000001,50.3848,188.33,872.43,266.42900000000003,236.18200000000002,902.857,159.766,234.829
694.345,284.198,177.13,764.202,50.6978,188.535,873.248,266.328,236.34799999999998,903.493,159.627,234.919
695.184,284.47900000000004,177.476,764.557,50.7855,188.798,874.072,266.248,236.498,904.084,159.484,234.985
696.025,284.83099999999996,177.86599999999999,764.926,50.8881,189.045,874.925,266.16200000000003,236.655,904.72,159.363,235.074
696.885,285.197,178.29,765.2739999999999,50.9875,189.295,875.803,266.06,236.83,905.301,159.241,235.146
697.7460000000001,285.6,178.778,765.41,50.9146,189.55700000000002,876.688,265.926,237.025,905.945,159.114,235.253
698.61,286.007,179.31599999999997,765.763,51.1119,189.757,877.319,265.725,237.075,906.567,158.97,235.36
699.48,286.427,179.90900000000002,766.1010000000001,51.3228,189.947,878.188,265.55400000000003,237.327,907.2189999999999,158.81799999999998,235.479
700.323,286.869,180.515,766.438,51.5507,190.12400000000002,879.0239999999999,265.382,237.622,907.86,158.66899999999998,235.63
701.1610000000001,287.32099999999997,181.136,766.7360000000001,51.7795,190.31099999999998,879.82,265.251,237.947,908.446,158.543,235.821
701.9680000000001,287.753,181.75099999999998,767.0319999999999,52.0324,190.53099999999998,880.556,265.161,238.305,908.993,158.44,236.03099999999998
702.755,288.181,182.31799999999998,767.316,52.2903,190.804,881.242,265.134,238.697,909.508,158.379,236.271
703.48,288.592,182.857,767.61,52.5365,191.111,881.8810000000001,265.139,239.072,909.9839999999999,158.347,236.511
704.1510000000001,288.949,183.343,767.7589999999999,52.6684,191.468,882.461,265.186,239.407,910.461,158.371,236.74599999999998
704.7689999999999,289.21299999999997,183.775,768.0189999999999,52.9247,191.78599999999997,883.008,265.276,239.71200000000002,910.857,158.42,236.954
705.297,289.45,184.18200000000002,768.373,53.2993,192.04,883.505,265.392,239.957,911.2439999999999,158.51,237.11700000000002
705.789,289.658,184.502,768.3639999999999,53.2742,192.274,883.9789999999999,265.508,240.137,911.571,158.606,237.199
706.2139999999999,289.875,184.762,768.5010000000001,53.4333,192.399,884.3839999999999,265.62,240.25900000000001,911.878,158.702,237.21900000000002
706.585,290.128,184.984,768.789,53.8914,192.388,884.75,265.755,240.3,912.176,158.803,237.185
706.924,290.433,185.149,768.711,53.9448,192.445,885.084,265.89,240.273,912.193,158.83700000000002,237.00599999999997
707.2139999999999,290.762,185.24,768.775,54.2777,192.44,885.375,266.057,240.13,912.39,158.975,236.84099999999998
707.466,291.142,185.255,768.799,54.6162,192.422,885.622,266.225,239.87599999999998,912.555,159.155,236.583
707.665,291.52299999999997,185.158,768.93,55.1489,192.33700000000002,885.87,266.43,239.484,912.701,159.351,236.24099999999999
707.814,291.916,184.94799999999998,768.7719999999999,55.4316,192.225,886.077,266.644,238.97400000000002,912.828,159.586,235.79
707.883,292.322,184.612,768.8889999999999,55.9101,192.0,886.258,266.895,238.357,912.939,159.864,235.263
707.857,292.703,184.169,768.8639999999999,56.2541,191.69299999999998,886.3910000000001,267.182,237.668,913.056,160.16899999999998,234.65900000000002
707.71,293.039,183.66400000000002,768.7919999999999,56.6845,191.30900000000003,886.4680000000001,267.485,236.97099999999998,913.097,160.515,234.007
707.465,293.334,183.15,768.7280000000001,56.9346,190.89,886.447,267.80400000000003,236.285,912.93,160.89700000000002,233.303
707.115,293.57599999999996,182.702,768.6569999999999,57.1576,190.511,886.345,268.134,235.678,912.9110000000001,161.298,232.718
706.703,293.74,182.388,768.434,57.18,190.21900000000002,886.123,268.491,235.183,912.8380000000001,161.719,232.225
706.235,293.848,182.21,768.5110000000001,57.5062,190.03599999999997,885.82,268.899,234.827,912.692,162.192,231.84900000000002
