EMG1,EMG11,EMG5,IM EMG13
-1.93e-05,2.8800000000000002e-05,1.0800000000000002e-05,-2.34e-06
-1.86e-05,2.7699999999999996e-05,1.3800000000000002e-05,-2.34e-06
-2e-05,2.9100000000000003e-05,1.51e-05,-1.54e-06
-2.3100000000000002e-05,2.84e-05,1.57e-05,-4.07e-06
-2.54e-05,2.7600000000000003e-05,1.56e-05,-4.07e-06
-2.58e-05,2.8600000000000004e-05,1.4099999999999999e-05,-7.53e-06
-2.56e-05,2.97e-05,1.22e-05,-7.53e-06
-2.52e-05,3.0299999999999998e-05,1.07e-05,-5.5e-06
-2.4e-05,2.8800000000000002e-05,9.18e-06,-5.5e-06
-2.3100000000000002e-05,2.78e-05,7.33e-06,-2.51e-06
-2.27e-05,2.84e-05,5.66e-06,-2.51e-06
-2.1600000000000003e-05,2.84e-05,4.49e-06,-1.79e-06
-1.92e-05,2.94e-05,3.24e-06,2.22e-06
-1.57e-05,2.94e-05,1.32e-06,2.22e-06
-1.36e-05,2.8499999999999998e-05,-5.1e-07,4.89e-06
-1.36e-05,2.99e-05,-8.2e-07,4.89e-06
-1.39e-05,3.05e-05,-2.3e-07,6.74e-06
-1.53e-05,2.8899999999999998e-05,-3.53e-07,6.74e-06
-1.64e-05,2.68e-05,8.05e-07,8.87e-06
-1.6100000000000002e-05,2.8999999999999997e-05,3.11e-06,8.87e-06
-1.56e-05,2.8999999999999997e-05,2.09e-06,7.18e-06
-1.63e-05,2.8899999999999998e-05,-3.37e-07,4.38e-06
-1.58e-05,2.94e-05,-1.47e-06,4.38e-06
-1.4999999999999999e-05,2.8899999999999998e-05,-2.44e-06,5.7e-06
-1.49e-05,3.05e-05,-2.22e-06,5.7e-06
-1.4099999999999999e-05,3.01e-05,-3.2100000000000003e-07,5.52e-06
-1.3800000000000002e-05,2.8699999999999996e-05,1.23e-06,5.52e-06
-1.4000000000000001e-05,2.78e-05,1.77e-06,3.82e-06
-1.4300000000000002e-05,2.9299999999999997e-05,2.1e-06,3.82e-06
-1.4599999999999999e-05,2.8999999999999997e-05,1.95e-06,9.83e-07
-1.4599999999999999e-05,2.8600000000000004e-05,1.06e-06,-7.96e-07
-1.66e-05,2.7399999999999995e-05,2.48e-07,-7.96e-07
-1.91e-05,2.7000000000000002e-05,1.99e-06,2.5e-06
-1.9399999999999997e-05,2.8600000000000004e-05,6.25e-06,2.5e-06
-1.92e-05,2.9199999999999998e-05,9e-06,1.17e-06
-1.98e-05,2.8899999999999998e-05,8.19e-06,1.17e-06
-2.07e-05,2.9199999999999998e-05,6.28e-06,6.629999999999999e-07
-2.2100000000000002e-05,2.9199999999999998e-05,5.4e-06,6.629999999999999e-07
-2.3199999999999998e-05,2.8699999999999996e-05,5.14e-06,-6.48e-09
-2.37e-05,2.7899999999999997e-05,4.81e-06,-5.3e-07
-2.35e-05,2.78e-05,4.21e-06,-5.3e-07
-2.27e-05,2.8499999999999998e-05,4.12e-06,-2.5e-06
-2.18e-05,2.9299999999999997e-05,5.39e-06,-2.5e-06
-2.17e-05,3.01e-05,7.72e-06,-1.26e-06
-2.15e-05,2.9299999999999997e-05,1.0300000000000001e-05,-1.26e-06
-2.08e-05,3.18e-05,1.23e-05,-7.37e-06
-2.0399999999999998e-05,3.06e-05,1.22e-05,-7.37e-06
-2.1899999999999997e-05,2.8600000000000004e-05,1.1900000000000001e-05,-6.16e-06
-2.37e-05,2.94e-05,1.17e-05,-2.19e-06
-2.46e-05,2.9199999999999998e-05,1.06e-05,-2.19e-06
-2.44e-05,2.9199999999999998e-05,1.01e-05,-2.83e-06
-2.4299999999999998e-05,2.8800000000000002e-05,1.05e-05,-2.83e-06
-2.52e-05,2.7000000000000002e-05,1e-05,-1.35e-06
-2.42e-05,2.7600000000000003e-05,9.08e-06,-1.35e-06
-2.3199999999999998e-05,2.8999999999999997e-05,9.03e-06,-2.18e-06
-2.25e-05,2.97e-05,9.19e-06,-2.18e-06
-2.1899999999999997e-05,2.7600000000000003e-05,8.52e-06,-1.81e-06
-2.17e-05,2.7600000000000003e-05,7.55e-06,8.690000000000001e-07
-2.12e-05,2.78e-05,7.96e-06,8.690000000000001e-07
-2.0600000000000003e-05,2.7899999999999997e-05,8.39e-06,3.15e-06
-2.01e-05,2.84e-05,8.77e-06,3.15e-06
-1.9600000000000002e-05,2.8199999999999998e-05,9.67e-06,2.0999999999999998e-09
-1.95e-05,2.78e-05,9.59e-06,2.0999999999999998e-09
-1.98e-05,2.7899999999999997e-05,7.4e-06,1.93e-07
-1.9600000000000002e-05,2.8600000000000004e-05,4.58e-06,1.93e-07
-1.9699999999999998e-05,2.95e-05,3.25e-06,2.17e-06
-2.1e-05,2.9100000000000003e-05,3.86e-06,9.92e-07
-2.1600000000000003e-05,2.7699999999999996e-05,5.17e-06,9.92e-07
-2.0300000000000002e-05,2.71e-05,5.87e-06,-1.72e-07
-1.9399999999999997e-05,2.75e-05,5.65e-06,-1.72e-07
-2.05e-05,2.8100000000000002e-05,4.46e-06,-5.079999999999999e-07
-2.15e-05,2.95e-05,2.51e-06,-5.079999999999999e-07
-2.18e-05,3.05e-05,1.4e-06,-8.31e-07
-2.26e-05,3.02e-05,4.66e-07,-8.31e-07
-2.1899999999999997e-05,2.84e-05,-1.8999999999999998e-08,-1.68e-07
-1.9600000000000002e-05,2.8499999999999998e-05,-5.03e-07,-1.8100000000000002e-07
-1.77e-05,2.7699999999999996e-05,-1.8e-07,-1.8100000000000002e-07
-1.6100000000000002e-05,2.8800000000000002e-05,-1.23e-08,-1.15e-06
-1.59e-05,3.02e-05,2.09e-06,-1.15e-06
-1.65e-05,2.8899999999999998e-05,4.07e-06,1.01e-06
-1.63e-05,2.9199999999999998e-05,5.73e-06,1.01e-06
-1.76e-05,2.94e-05,8e-06,1.17e-06
-1.92e-05,2.84e-05,1.12e-05,1.17e-06
-2.08e-05,2.8499999999999998e-05,1.39e-05,6.88e-07
-2.22e-05,2.95e-05,1.55e-05,1.99e-06
-2.2100000000000002e-05,2.9299999999999997e-05,1.65e-05,1.99e-06
-2.1899999999999997e-05,2.9199999999999998e-05,1.63e-05,-1.28e-07
-2.3199999999999998e-05,2.94e-05,1.39e-05,-1.28e-07
-2.5e-05,2.99e-05,9.64e-06,3.01e-06
-2.54e-05,2.9600000000000005e-05,7.38e-06,3.01e-06
-2.4e-05,2.84e-05,8.6e-06,1.84e-06
-2.24e-05,2.8000000000000003e-05,9.08e-06,1.84e-06
-2.17e-05,2.8199999999999998e-05,5.9e-06,1.04e-06
-2.08e-05,2.8199999999999998e-05,1.17e-06,3.5e-06
-1.91e-05,2.8199999999999998e-05,-1.66e-06,3.5e-06
-1.6800000000000002e-05,2.8699999999999996e-05,-1.4e-06,1.19e-06
-1.52e-05,2.78e-05,5.6e-07,1.19e-06
-1.42e-05,2.75e-05,1.16e-06,2.56e-06
-1.24e-05,2.84e-05,6.21e-08,2.56e-06
-9.36e-06,2.8699999999999996e-05,-1.68e-06,6.11e-06
-7.83e-06,2.99e-05,-2.97e-06,6.11e-06
-9.28e-06,2.8000000000000003e-05,-2.24e-06,-1.69e-06
-1.04e-05,2.6700000000000002e-05,6.72e-07,-2.86e-06
-9.92e-06,2.9299999999999997e-05,2.77e-06,-2.86e-06
-9.13e-06,2.8100000000000002e-05,3.16e-06,-3.53e-06
-1.01e-05,2.8300000000000003e-05,1.7e-06,-3.53e-06
-1.15e-05,2.8100000000000002e-05,-4.92e-07,-3.86e-06
-1.23e-05,2.9100000000000003e-05,-8.39e-07,-3.86e-06
-1.4099999999999999e-05,2.9600000000000005e-05,4.6700000000000004e-07,-4.18e-06
-1.6100000000000002e-05,2.95e-05,2.83e-06,-4.18e-06
-1.7899999999999998e-05,2.9100000000000003e-05,5.53e-06,-2.87e-06
-1.9399999999999997e-05,2.9299999999999997e-05,6.71e-06,-4.02e-06
-2.0300000000000002e-05,2.9100000000000003e-05,5.93e-06,-4.02e-06
-2.0600000000000003e-05,2.8800000000000002e-05,4.58e-06,-3.37e-06
-2.01e-05,2.9100000000000003e-05,4.12e-06,-3.37e-06
-2.02e-05,2.75e-05,4.72e-06,-4.18e-06
-2.1e-05,2.6700000000000002e-05,5.69e-06,-4.18e-06
-2.07e-05,2.75e-05,6.06e-06,-2.82e-06
-1.9600000000000002e-05,2.78e-05,5.53e-06,-2.82e-06
-1.89e-05,2.7699999999999996e-05,4.85e-06,-5.29e-07
-1.89e-05,2.75e-05,4.64e-06,-2.49e-06
-1.91e-05,2.98e-05,5.27e-06,-2.49e-06
-1.9600000000000002e-05,2.9600000000000005e-05,6.38e-06,-3.6700000000000004e-07
-2.05e-05,2.98e-05,7.25e-06,-3.6700000000000004e-07
-2.09e-05,2.8499999999999998e-05,8.53e-06,-2.88e-06
-2.05e-05,2.8999999999999997e-05,8.02e-06,-2.88e-06
-1.93e-05,2.8199999999999998e-05,5.56e-06,-5.22e-06
-1.84e-05,2.94e-05,3.06e-06,-5.22e-06
-1.92e-05,2.9999999999999997e-05,3.6e-06,-6.21e-06
